,source,target,label
4531,"[ 0.306  0.106  0.001 -0.094 -0.029  0.025  0.032  0.025 -0.008 -0.043
  0.036 -0.05  -0.027 -0.029 -0.031 -0.024  0.007 -0.029  0.016 -0.011]","[ 0.347  0.102  0.014 -0.097 -0.029  0.035  0.051  0.049 -0.007 -0.041
 -0.021 -0.011 -0.032 -0.02   0.024 -0.021  0.005 -0.018  0.045 -0.054]",1
4532,"[ 0.38   0.102  0.015 -0.091 -0.029  0.036  0.034  0.008  0.035 -0.038
  0.042 -0.045 -0.028 -0.018  0.018 -0.021  0.019 -0.017  0.003 -0.007]","[ 0.348  0.102  0.015 -0.097 -0.029  0.024  0.045  0.005 -0.009 -0.036
 -0.016 -0.052 -0.036 -0.022 -0.03  -0.022  0.043 -0.017 -0.011 -0.013]",1
4533,"[ 0.394  0.08   0.001 -0.087 -0.024  0.026  0.04   0.022 -0.02  -0.038
  0.05  -0.043 -0.03  -0.035 -0.03  -0.012  0.011 -0.012 -0.007 -0.006]","[ 0.394  0.098  0.004 -0.085 -0.029  0.026  0.026  0.007 -0.027 -0.04
 -0.005 -0.05  -0.033 -0.034 -0.026 -0.012  0.013 -0.049 -0.007 -0.014]",0
4534,"[ 0.35   0.101  0.014 -0.099 -0.029  0.023  0.041  0.004 -0.007 -0.041
 -0.015 -0.053 -0.036 -0.033  0.036 -0.021  0.019 -0.027 -0.009 -0.014]","[ 0.373  0.102  0.013 -0.091 -0.029  0.048  0.037  0.032 -0.007 -0.038
 -0.011 -0.05  -0.028 -0.018 -0.057 -0.021  0.052 -0.005  0.003 -0.004]",1
4535,"[ 0.373  0.102  0.014 -0.093 -0.029  0.05   0.041  0.032  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.022  0.044 -0.025  0.018 -0.01 ]","[ 0.376  0.101 -0.    -0.097 -0.029  0.021 -0.024  0.005 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.023 -0.026  0.009 -0.009]",0
4536,"[ 0.371  0.101  0.014 -0.097 -0.029  0.034  0.035  0.001 -0.012 -0.041
 -0.027 -0.05  -0.025 -0.02   0.033 -0.022  0.005 -0.02   0.047 -0.049]","[ 0.373  0.106  0.001 -0.091 -0.029  0.05   0.037  0.053 -0.01  -0.014
 -0.006 -0.05  -0.028 -0.018  0.035 -0.013  0.044 -0.024  0.016 -0.01 ]",0
4537,"[ 0.373  0.106  0.001 -0.093 -0.029  0.05   0.037  0.053  0.036 -0.038
  0.04  -0.05  -0.027 -0.018  0.035 -0.022  0.02  -0.025  0.004 -0.01 ]","[ 0.367  0.101  0.002 -0.09  -0.029  0.021 -0.024  0.005 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.016  0.025 -0.021  0.023 -0.026  0.01  -0.009]",0
4538,"[ 0.322  0.099  0.015 -0.091 -0.029  0.029  0.036  0.032 -0.008 -0.037
 -0.013 -0.044 -0.027 -0.018  0.027 -0.012  0.022 -0.009  0.016 -0.022]","[ 0.373  0.106  0.001 -0.091 -0.029  0.05   0.037  0.053 -0.01  -0.014
  0.003 -0.05  -0.028 -0.018  0.035 -0.013  0.044 -0.024  0.016 -0.01 ]",1
4539,"[ 0.394  0.099  0.015 -0.086 -0.029  0.041  0.032  0.007 -0.02  -0.038
  0.045 -0.041 -0.03  -0.018 -0.027 -0.012  0.01  -0.004 -0.026 -0.006]","[ 0.379  0.103  0.014 -0.087 -0.029  0.038  0.037  0.031  0.043 -0.037
  0.052 -0.049 -0.019 -0.062  0.029 -0.022  0.019 -0.024  0.008 -0.004]",1
4540,"[ 0.37   0.1    0.014 -0.099 -0.029  0.035  0.051  0.004 -0.007 -0.042
 -0.003 -0.049 -0.029 -0.022  0.021 -0.024  0.005  0.02   0.001 -0.058]","[ 0.373  0.101 -0.    -0.097 -0.029  0.021 -0.006  0.007 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.026 -0.026  0.004 -0.009]",0
4541,"[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.036  0.031 -0.007 -0.035
 -0.022 -0.049 -0.035 -0.021 -0.043 -0.015 -0.005 -0.026 -0.007 -0.015]","[ 0.336  0.102  0.015 -0.097 -0.029  0.023  0.044  0.031 -0.007 -0.041
 -0.028 -0.051 -0.036 -0.017 -0.016 -0.021  0.006 -0.018 -0.011 -0.013]",0
4542,"[ 0.348  0.1    0.015 -0.096 -0.029  0.024  0.044  0.005 -0.009 -0.036
 -0.016 -0.052 -0.034 -0.022  0.021 -0.022  0.043 -0.017 -0.011 -0.013]","[ 0.368  0.064 -0.001 -0.091 -0.029  0.017  0.036  0.004 -0.01  -0.036
 -0.03  -0.054 -0.023 -0.017  0.025 -0.022  0.009 -0.019 -0.009 -0.009]",1
4543,"[ 0.371  0.101  0.014 -0.092 -0.029  0.035  0.057  0.006 -0.007 -0.041
 -0.027 -0.049 -0.02  -0.02   0.023 -0.021  0.005 -0.002  0.045 -0.05 ]","[ 0.347  0.102  0.015 -0.097 -0.029  0.024  0.044  0.031 -0.001 -0.036
  0.052 -0.051 -0.036 -0.017 -0.034 -0.022  0.043 -0.016 -0.011 -0.013]",1
4544,"[ 0.325  0.106  0.001 -0.093 -0.029  0.025  0.03   0.026 -0.008 -0.043
  0.04  -0.05  -0.034 -0.029 -0.029 -0.024  0.007 -0.024  0.017 -0.013]","[ 0.337  0.102  0.015 -0.097 -0.029  0.024  0.044  0.031 -0.007 -0.036
 -0.028 -0.051 -0.035 -0.017 -0.034 -0.022  0.006 -0.019 -0.012 -0.013]",1
4545,"[ 0.322  0.099  0.015 -0.091 -0.029  0.035  0.032  0.032 -0.007 -0.038
 -0.013 -0.044 -0.028 -0.018 -0.057 -0.021  0.008 -0.005  0.002 -0.02 ]","[ 0.378  0.102  0.015 -0.091 -0.029  0.039  0.034  0.032 -0.007 -0.038
  0.042 -0.053 -0.028 -0.018 -0.057 -0.021  0.019 -0.005  0.003 -0.018]",1
4546,"[ 0.381  0.102  0.015 -0.092 -0.029  0.034  0.034  0.001 -0.012 -0.041
 -0.014 -0.05  -0.025 -0.02   0.029 -0.022  0.018 -0.019  0.047 -0.049]","[ 0.372  0.071 -0.002 -0.099 -0.029  0.035  0.034  0.008  0.035 -0.038
 -0.013 -0.051 -0.027 -0.018  0.015 -0.021  0.019 -0.017  0.003 -0.014]",1
4547,"[ 0.382  0.102  0.002 -0.091  0.001  0.043 -0.065  0.02  -0.014 -0.018
  0.005 -0.051 -0.036 -0.024  0.033  0.007  0.043 -0.024  0.038 -0.01 ]","[ 0.362  0.077  0.001 -0.097 -0.029  0.041 -0.029  0.012 -0.012 -0.038
 -0.015 -0.032 -0.031 -0.033  0.034 -0.011  0.021 -0.003 -0.01  -0.049]",1
4548,"[ 0.373  0.106  0.015 -0.093 -0.029  0.05   0.04   0.028  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.014  0.022 -0.025  0.016 -0.01 ]","[ 0.34   0.103  0.015 -0.091 -0.029  0.035  0.028  0.006 -0.007 -0.041
 -0.018 -0.053 -0.034 -0.018 -0.057 -0.021  0.019 -0.007  0.004 -0.017]",1
4549,"[ 0.345  0.106  0.014 -0.097 -0.028  0.016  0.052  0.004 -0.007 -0.035
 -0.016 -0.049 -0.034 -0.021 -0.036 -0.011  0.008  0.05  -0.003 -0.014]","[ 0.376  0.101 -0.    -0.097 -0.029  0.021 -0.026  0.005 -0.018 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.02  -0.026  0.003 -0.009]",1
4550,"[ 0.35   0.101  0.014 -0.099 -0.029  0.023  0.041  0.004 -0.007 -0.041
 -0.015 -0.053 -0.036 -0.033  0.036 -0.021  0.019 -0.027 -0.009 -0.014]","[ 0.348  0.102  0.015 -0.097 -0.029  0.024  0.045  0.005 -0.009 -0.036
 -0.016 -0.052 -0.036 -0.022 -0.03  -0.022  0.043 -0.017 -0.011 -0.013]",0
4551,"[ 0.371  0.101  0.014 -0.097 -0.029  0.035  0.051  0.006 -0.007 -0.041
 -0.027 -0.049 -0.02  -0.02   0.024 -0.021  0.005 -0.019  0.045 -0.049]","[ 0.362  0.077  0.001 -0.097 -0.029  0.041 -0.029  0.012 -0.012 -0.038
 -0.015 -0.032 -0.031 -0.033  0.034 -0.011  0.021 -0.003 -0.01  -0.049]",1
4552,"[ 0.373  0.106  0.001 -0.093 -0.029  0.05   0.029  0.051 -0.008 -0.042
  0.04  -0.05  -0.031 -0.029  0.035 -0.023  0.007 -0.025  0.017 -0.01 ]","[ 0.371  0.101  0.014 -0.092 -0.029  0.035  0.057  0.006 -0.007 -0.041
 -0.027 -0.049 -0.02  -0.02   0.023 -0.021  0.005 -0.002  0.045 -0.05 ]",1
4553,"[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.052  0.031 -0.007 -0.035
  0.056 -0.049 -0.034 -0.019 -0.035 -0.015  0.021  0.037  0.018 -0.015]","[ 0.349  0.102  0.014 -0.093 -0.029  0.032  0.041  0.028  0.036 -0.041
 -0.013 -0.05  -0.032 -0.019  0.023 -0.022 -0.017 -0.025  0.018 -0.062]",1
4554,"[ 0.346  0.101  0.014 -0.097 -0.029  0.023  0.041  0.004 -0.007 -0.041
 -0.015 -0.051 -0.036 -0.033  0.036 -0.021  0.043 -0.027 -0.011 -0.014]","[ 0.368  0.103  0.014 -0.091 -0.029  0.01   0.036  0.004 -0.016 -0.037
  0.052 -0.049 -0.023 -0.062  0.026 -0.022  0.019 -0.024 -0.012 -0.009]",0
4555,"[ 0.322  0.099  0.015 -0.091 -0.029  0.035  0.032  0.032 -0.007 -0.038
 -0.013 -0.044 -0.028 -0.018 -0.057 -0.021  0.008 -0.005  0.002 -0.02 ]","[ 0.372  0.07  -0.002 -0.091 -0.029  0.035  0.034  0.008  0.035 -0.038
  0.04  -0.044 -0.027 -0.018  0.015 -0.021  0.019 -0.017  0.008 -0.009]",1
4556,"[ 0.39   0.105  0.001 -0.084 -0.029  0.041  0.037  0.026 -0.023 -0.038
  0.03  -0.041 -0.03  -0.028 -0.039 -0.012  0.01  -0.048 -0.008 -0.007]","[ 0.378  0.102  0.015 -0.096 -0.029  0.031  0.034  0.032 -0.007 -0.038
  0.042 -0.054 -0.028 -0.019 -0.059 -0.021  0.019 -0.003  0.002 -0.018]",1
4557,"[ 0.371  0.101  0.014 -0.097 -0.029  0.035  0.036  0.049 -0.012 -0.041
 -0.027  0.056 -0.026 -0.02   0.024 -0.022  0.005 -0.02   0.045 -0.049]","[ 0.34   0.102  0.015 -0.091 -0.029  0.035  0.034  0.032 -0.007 -0.038
 -0.018 -0.053 -0.028 -0.018 -0.057 -0.021  0.019 -0.005  0.004 -0.018]",0
4558,"[ 0.373  0.106  0.001 -0.1   -0.029  0.05   0.029  0.005 -0.008 -0.042
 -0.021 -0.05  -0.036 -0.033  0.035 -0.023  0.007 -0.027  0.017 -0.01 ]","[ 0.382  0.102  0.002 -0.091  0.001  0.043 -0.065  0.02  -0.014 -0.018
  0.005 -0.051 -0.036 -0.024  0.033  0.007  0.043 -0.024  0.038 -0.01 ]",0
4559,"[ 0.373  0.106  0.001 -0.091 -0.029  0.05   0.037  0.053 -0.01  -0.014
  0.003 -0.05  -0.028 -0.018  0.035 -0.013  0.044 -0.024  0.016 -0.01 ]","[ 0.368  0.064 -0.001 -0.091 -0.029  0.017  0.036  0.004 -0.01  -0.036
 -0.03  -0.054 -0.023 -0.017  0.025 -0.022  0.009 -0.019 -0.009 -0.009]",1
4560,"[ 0.373  0.102  0.001 -0.093 -0.029  0.036  0.037  0.053  0.036 -0.037
  0.039 -0.049 -0.028 -0.018  0.035 -0.024  0.02  -0.025  0.003 -0.01 ]","[ 0.348  0.08   0.004 -0.086 -0.029  0.024  0.051  0.031 -0.007 -0.038
  0.05  -0.045 -0.039 -0.035 -0.03  -0.012  0.011 -0.012 -0.008 -0.007]",1
4561,"[ 0.371  0.101  0.014 -0.097 -0.029  0.035  0.051  0.049 -0.007 -0.041
 -0.027  0.056 -0.02  -0.02   0.024 -0.021  0.005 -0.019  0.045 -0.049]","[ 0.347  0.102  0.015  0.041 -0.029  0.024  0.043  0.005  0.024 -0.036
 -0.016 -0.045 -0.028 -0.022 -0.031 -0.021  0.04  -0.017 -0.011 -0.013]",0
4562,"[ 0.34   0.102  0.015 -0.091 -0.029  0.035  0.034  0.032 -0.007 -0.038
 -0.018 -0.044 -0.028 -0.018 -0.057 -0.021  0.008 -0.005  0.002 -0.018]","[ 0.371  0.101  0.014 -0.097 -0.029  0.034  0.036  0.051 -0.007 -0.041
 -0.026 -0.05  -0.02  -0.028  0.025 -0.021  0.009 -0.024  0.045  0.002]",1
4563,"[ 0.346  0.118 -0.    -0.097 -0.029  0.03   0.036  0.031 -0.01  -0.033
  0.    -0.049 -0.035 -0.029 -0.045 -0.015  0.019 -0.03   0.016 -0.015]","[ 0.378  0.109  0.019 -0.091 -0.029  0.039  0.057  0.028 -0.007 -0.041
 -0.048 -0.048 -0.021 -0.016  0.013 -0.021  0.019 -0.012  0.007 -0.018]",0
4564,"[ 0.354  0.101  0.001 -0.097 -0.029  0.036  0.049 -0.008 -0.007 -0.041
 -0.026  0.022 -0.019 -0.02   0.03  -0.021  0.005 -0.028  0.045 -0.049]","[ 0.379  0.103  0.014 -0.087 -0.029  0.038  0.037  0.031  0.043 -0.037
  0.052 -0.049 -0.019 -0.062  0.029 -0.022  0.019 -0.024  0.008 -0.004]",1
4565,"[ 0.371  0.101  0.014 -0.097 -0.029  0.034  0.029  0.051 -0.007 -0.041
 -0.026 -0.05  -0.02  -0.028  0.025 -0.021  0.009 -0.019  0.045 -0.045]","[ 0.373  0.106  0.015 -0.093 -0.029  0.037  0.037  0.028  0.036 -0.037
  0.04  -0.05  -0.028 -0.018  0.03  -0.014  0.022 -0.025  0.007 -0.01 ]",0
4566,"[ 0.346  0.095  0.003 -0.096 -0.029  0.025  0.027  0.006 -0.009 -0.041
 -0.007 -0.051 -0.035 -0.035 -0.049 -0.012  0.018 -0.028 -0.003 -0.014]","[ 0.364  0.105  0.001 -0.084 -0.029  0.041 -0.045  0.026 -0.023 -0.038
  0.035 -0.042 -0.03  -0.028 -0.039 -0.015  0.01  -0.048 -0.007 -0.007]",1
4567,"[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.052  0.029 -0.007 -0.035
 -0.015 -0.049 -0.034 -0.021 -0.036 -0.011  0.04   0.05  -0.003 -0.014]","[ 0.394  0.098  0.004 -0.085 -0.029  0.026  0.026  0.007 -0.027 -0.04
 -0.005 -0.05  -0.033 -0.034 -0.026 -0.012  0.013 -0.049 -0.007 -0.014]",1
4568,"[ 0.346  0.102  0.015 -0.095 -0.029  0.017  0.023  0.008 -0.01  -0.036
 -0.008 -0.045 -0.036 -0.017 -0.039 -0.021  0.018 -0.019 -0.009 -0.013]","[ 0.38   0.102  0.015 -0.091 -0.029  0.036  0.034  0.008  0.035 -0.038
  0.042 -0.045 -0.028 -0.018  0.018 -0.021  0.019 -0.017  0.003 -0.007]",0
4569,"[ 0.346  0.098  0.017 -0.096 -0.029  0.025 -0.036  0.036  0.006 -0.041
 -0.014 -0.035 -0.03  -0.033 -0.044 -0.012  0.043 -0.027 -0.006 -0.006]","[ 0.325  0.106  0.001 -0.093 -0.029  0.025  0.03   0.026 -0.008 -0.043
  0.04  -0.05  -0.034 -0.029 -0.029 -0.024  0.007 -0.024  0.017 -0.013]",0
4570,"[ 0.378  0.065  0.001 -0.086 -0.029  0.036  0.037  0.005 -0.019 -0.041
 -0.026 -0.052 -0.02  -0.044  0.012 -0.018  0.01  -0.004  0.003 -0.007]","[ 0.373  0.101 -0.    -0.097 -0.029  0.021 -0.006  0.007 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.026 -0.026  0.004 -0.009]",0
4571,"[ 0.37   0.1    0.001 -0.103 -0.029  0.035  0.036  0.011  0.036 -0.036
 -0.002 -0.049 -0.028 -0.018  0.022 -0.024  0.02  -0.03   0.003 -0.011]","[ 0.367  0.101  0.015 -0.097 -0.029  0.018  0.045  0.003 -0.001 -0.035
  0.052 -0.051 -0.036 -0.02  -0.038 -0.022  0.043  0.003 -0.011 -0.015]",1
4572,"[ 0.337  0.106  0.015 -0.097 -0.029  0.024  0.044  0.028 -0.006 -0.036
 -0.022 -0.051 -0.035 -0.017 -0.034 -0.014  0.006 -0.019 -0.012 -0.013]","[ 0.346  0.118 -0.    -0.097 -0.029  0.03   0.052  0.031 -0.007 -0.035
  0.    -0.049 -0.035 -0.028 -0.045 -0.015  0.021 -0.03   0.018 -0.015]",1
4573,"[ 0.37   0.101  0.001 -0.102 -0.029  0.039  0.036  0.011  0.036 -0.037
 -0.002 -0.05  -0.028 -0.018  0.022 -0.022  0.02  -0.03   0.003 -0.011]","[ 0.373  0.106  0.001 -0.093 -0.029  0.05   0.037  0.053  0.036 -0.038
  0.04  -0.05  -0.027 -0.018  0.035 -0.022  0.02  -0.025  0.004 -0.01 ]",1
4574,"[ 0.345  0.106  0.014 -0.097 -0.028  0.016  0.052  0.004 -0.007 -0.035
 -0.016 -0.049 -0.034 -0.021 -0.036 -0.011  0.008  0.05  -0.003 -0.014]","[ 0.367  0.101  0.002 -0.09  -0.029  0.021 -0.024  0.005 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.016  0.025 -0.021  0.023 -0.026  0.01  -0.009]",0
4575,"[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.036  0.031 -0.007 -0.035
  0.03  -0.049 -0.035 -0.021 -0.043 -0.015 -0.005 -0.026  0.002 -0.034]","[ 0.354  0.101  0.001 -0.096 -0.029  0.034  0.035 -0.009 -0.017 -0.041
 -0.005  0.022 -0.033 -0.02  -0.054 -0.02   0.006 -0.029  0.045 -0.049]",1
4576,"[ 0.373  0.065  0.001 -0.086 -0.029  0.041 -0.039  0.008 -0.018 -0.036
  0.04  -0.042 -0.019 -0.018  0.025 -0.011  0.011 -0.023  0.016 -0.009]","[ 0.374  0.062  0.001 -0.086 -0.029  0.041 -0.039  0.007 -0.017 -0.038
  0.042 -0.042 -0.019 -0.018  0.025 -0.011  0.011 -0.023  0.016 -0.   ]",1
4577,"[ 0.347  0.102  0.014 -0.097 -0.029  0.035  0.051  0.049 -0.007 -0.041
 -0.021 -0.011 -0.032 -0.02   0.024 -0.021  0.005 -0.018  0.045 -0.054]","[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.036  0.031 -0.007 -0.035
 -0.022 -0.049 -0.035 -0.021 -0.043 -0.015 -0.005 -0.026 -0.007 -0.015]",0
4578,"[ 0.394  0.08   0.001 -0.087 -0.024  0.026  0.04   0.022 -0.02  -0.038
  0.05  -0.043 -0.03  -0.035 -0.03  -0.012  0.011 -0.012 -0.007 -0.006]","[ 0.347  0.102  0.015 -0.097 -0.029  0.024  0.044  0.031 -0.001 -0.036
  0.052 -0.051 -0.036 -0.017 -0.034 -0.022  0.043 -0.016 -0.011 -0.013]",0
4579,"[ 0.373  0.102  0.015 -0.093 -0.029  0.05   0.04   0.028  0.036 -0.036
  0.04  -0.05  -0.027 -0.017  0.035 -0.006  0.022 -0.017  0.016 -0.01 ]","[ 0.379  0.124  0.014 -0.087 -0.029  0.038  0.037  0.03   0.043 -0.037
  0.055 -0.049 -0.019 -0.068  0.029 -0.021  0.019 -0.024  0.008 -0.004]",1
4580,"[ 0.346  0.098  0.015 -0.096 -0.029  0.025  0.026  0.006  0.008 -0.041
 -0.014 -0.051 -0.02  -0.034 -0.044 -0.012  0.043 -0.028 -0.003 -0.014]","[ 0.373  0.106  0.001 -0.091 -0.029  0.05   0.037  0.053 -0.01  -0.014
 -0.006 -0.05  -0.028 -0.018  0.035 -0.013  0.044 -0.024  0.016 -0.01 ]",0
4581,"[ 0.372  0.071 -0.002 -0.099 -0.029  0.035  0.034  0.008  0.035 -0.038
 -0.013 -0.051 -0.027 -0.018  0.015 -0.021  0.019 -0.017  0.003 -0.014]","[ 0.378  0.109  0.019 -0.091 -0.029  0.039  0.038  0.028 -0.007 -0.041
 -0.048 -0.048 -0.021 -0.017  0.012 -0.021  0.019 -0.03   0.007 -0.018]",0
4582,"[ 0.368  0.07  -0.002 -0.091 -0.029  0.035  0.034  0.009  0.035 -0.035
 -0.01  -0.044 -0.027 -0.02   0.017 -0.021  0.005 -0.017  0.008 -0.009]","[ 0.371  0.101  0.014 -0.097 -0.029  0.034  0.035  0.001 -0.012 -0.041
 -0.027 -0.05  -0.025 -0.02   0.033 -0.022  0.005 -0.02   0.047 -0.049]",1
4583,"[ 0.381  0.101  0.001 -0.097 -0.029  0.037  0.049 -0.008 -0.007 -0.041
 -0.024  0.026 -0.019 -0.02   0.03  -0.021  0.005 -0.025  0.045 -0.02 ]","[ 0.322  0.099  0.015 -0.091 -0.029  0.029  0.036  0.032 -0.008 -0.037
 -0.013 -0.044 -0.027 -0.018  0.027 -0.012  0.022 -0.009  0.016 -0.022]",0
4584,"[ 0.347  0.118  0.014 -0.097 -0.029  0.03   0.052  0.031 -0.007 -0.035
  0.01  -0.049 -0.034 -0.019 -0.035 -0.02   0.005  0.037  0.018 -0.054]","[ 0.381  0.074  0.001 -0.086 -0.029  0.034  0.028  0.026 -0.009 -0.038
 -0.017 -0.044 -0.032 -0.028 -0.047 -0.015  0.01   0.001 -0.007 -0.008]",1
4585,"[ 0.376  0.101 -0.    -0.097 -0.029  0.021 -0.026  0.005 -0.018 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.02  -0.026  0.003 -0.009]","[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.052  0.028 -0.007 -0.035
 -0.015 -0.049 -0.034 -0.021 -0.036 -0.015  0.04   0.05  -0.003 -0.015]",1
4586,"[ 0.373  0.106  0.015 -0.093 -0.029  0.05   0.04   0.028  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.014  0.022 -0.025  0.016 -0.01 ]","[ 0.346  0.102  0.015 -0.097 -0.029  0.024  0.045  0.004 -0.001 -0.036
  0.052 -0.051 -0.036 -0.017 -0.034 -0.022  0.043 -0.016 -0.011 -0.013]",1
4587,"[ 0.373  0.106  0.015 -0.093 -0.029  0.052  0.037  0.028  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.013  0.022 -0.025  0.016 -0.01 ]","[ 0.368  0.102  0.015 -0.091 -0.029  0.017  0.05   0.008 -0.01  -0.036
 -0.008 -0.045 -0.022 -0.017  0.025 -0.021  0.018 -0.019 -0.009 -0.009]",0
4588,"[ 0.337  0.102  0.015 -0.097 -0.029  0.024  0.044  0.031 -0.007 -0.036
 -0.028 -0.051 -0.035 -0.017 -0.034 -0.022  0.006 -0.019 -0.012 -0.013]","[ 0.34   0.103  0.015 -0.091 -0.029  0.035  0.028  0.006 -0.007 -0.041
 -0.018 -0.053 -0.034 -0.018 -0.057 -0.021  0.019 -0.007  0.004 -0.017]",0
4589,"[ 0.367  0.102  0.015 -0.097 -0.029  0.017  0.05   0.002 -0.007 -0.036
 -0.008 -0.049 -0.02  -0.017  0.061 -0.021  0.005 -0.019 -0.009 -0.009]","[ 0.373  0.106  0.001 -0.093 -0.029  0.05   0.037  0.053  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.013  0.044 -0.025  0.016 -0.01 ]",1
4590,"[ 0.391  0.101  0.015 -0.091 -0.029  0.036  0.032 -0.    -0.033 -0.038
  0.042 -0.045 -0.017 -0.016  0.018 -0.021  0.005 -0.014  0.003 -0.   ]","[ 0.306  0.106  0.001 -0.094 -0.029  0.025  0.032  0.025 -0.008 -0.043
  0.036 -0.05  -0.027 -0.029 -0.031 -0.024  0.007 -0.029  0.016 -0.011]",1
4591,"[ 0.348  0.08   0.003 -0.086 -0.029  0.024  0.051  0.001 -0.033 -0.038
  0.05  -0.045 -0.039 -0.035 -0.03  -0.019  0.011 -0.014 -0.009 -0.007]","[ 0.34   0.102  0.015 -0.091 -0.029  0.035  0.029  0.031 -0.007 -0.038
 -0.018 -0.053 -0.028 -0.018 -0.057 -0.021  0.019 -0.005  0.005 -0.018]",0
4592,"[ 0.37   0.1    0.014 -0.099 -0.029  0.035  0.051  0.004 -0.007 -0.042
 -0.003 -0.049 -0.029 -0.022  0.021 -0.024  0.005  0.02   0.001 -0.058]","[ 0.348  0.1    0.015 -0.096 -0.029  0.024  0.044  0.005 -0.009 -0.036
 -0.016 -0.052 -0.034 -0.022  0.021 -0.022  0.043 -0.017 -0.011 -0.013]",0
4593,"[ 0.339  0.083  0.015 -0.097 -0.028  0.031  0.052  0.023 -0.007 -0.035
  0.05  -0.048 -0.034 -0.019 -0.035 -0.015  0.013 -0.005  0.018 -0.015]","[ 0.378  0.102  0.015 -0.091 -0.029  0.039  0.034  0.032 -0.007 -0.038
  0.042 -0.053 -0.028 -0.018 -0.057 -0.021  0.019 -0.005  0.003 -0.018]",1
4594,"[ 0.336  0.102  0.015 -0.097 -0.029  0.023  0.044  0.031 -0.007 -0.041
 -0.028 -0.051 -0.036 -0.017 -0.016 -0.021  0.006 -0.018 -0.011 -0.013]","[ 0.346  0.118  0.015 -0.097 -0.028  0.031  0.053  0.031 -0.007 -0.035
 -0.027 -0.049 -0.034 -0.022 -0.035 -0.015 -0.005  0.037  0.018 -0.015]",1
4595,"[ 0.381  0.102  0.015 -0.092 -0.029  0.034  0.034  0.001 -0.012 -0.041
 -0.014 -0.05  -0.025 -0.02   0.029 -0.022  0.018 -0.019  0.047 -0.049]","[ 0.373  0.106  0.015 -0.1   -0.029  0.052  0.028  0.005 -0.008 -0.042
 -0.021 -0.05  -0.021 -0.033  0.035 -0.023  0.042 -0.027  0.017 -0.01 ]",1
4596,"[ 0.354  0.101  0.001 -0.091 -0.029  0.036  0.05  -0.008 -0.007 -0.036
 -0.009  0.022 -0.019 -0.02   0.029 -0.021  0.001 -0.028 -0.009 -0.055]","[ 0.367  0.105  0.014 -0.097 -0.029  0.017  0.051  0.006 -0.007 -0.035
 -0.008 -0.049 -0.02  -0.02   0.024 -0.021  0.005 -0.019 -0.009 -0.009]",0
4597,"[ 0.394  0.098  0.015 -0.085 -0.029  0.025  0.026  0.007  0.008 -0.041
  0.005 -0.051 -0.033 -0.034 -0.026 -0.012  0.013 -0.028 -0.004 -0.014]","[ 0.394  0.099  0.015 -0.086 -0.029  0.041  0.032  0.007 -0.02  -0.038
  0.045 -0.041 -0.03  -0.018 -0.027 -0.012  0.01  -0.004 -0.026 -0.006]",0
4598,"[ 0.373  0.102  0.013 -0.091 -0.029  0.048  0.037  0.032 -0.007 -0.038
 -0.011 -0.05  -0.028 -0.018 -0.057 -0.021  0.052 -0.005  0.003 -0.004]","[ 0.376  0.101 -0.    -0.097 -0.029  0.021 -0.024  0.005 -0.007 -0.041
 -0.03  -0.052 -0.019 -0.02   0.025 -0.021  0.023 -0.026  0.009 -0.009]",0
4599,"[ 0.34   0.102  0.015 -0.093 -0.029  0.035  0.034  0.032 -0.007 -0.038
 -0.018 -0.049 -0.028 -0.018 -0.046 -0.022  0.003 -0.026  0.002 -0.018]","[ 0.373  0.102  0.014 -0.093 -0.029  0.05   0.041  0.032  0.036 -0.037
  0.04  -0.05  -0.027 -0.018  0.035 -0.022  0.044 -0.025  0.018 -0.01 ]",1
4600,"[ 0.371  0.101  0.014 -0.097 -0.029  0.034  0.036  0.051 -0.007 -0.041
 -0.026 -0.05  -0.02  -0.028  0.025 -0.021  0.009 -0.024  0.045  0.002]","[ 0.336  0.102  0.015 -0.097 -0.029  0.023  0.044  0.031 -0.007 -0.041
 -0.028 -0.051 -0.036 -0.017 -0.016 -0.021  0.006 -0.018 -0.011 -0.013]",0
